source_id,university_slug,college_name,department_name,org_unit_id,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled,notes
dongguk_001,dongguk,,,12,university,동국대 장학센터 근로장학공고,https://scholarship.dongguk.edu/article/notice/list,https://scholarship.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_002,dongguk,,,12,university,동국대 WISE 장학/봉사,https://wise.dongguk.ac.kr/article/servicenotice/list,https://wise.dongguk.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,경주 WISE 캠퍼스
dongguk_003,dongguk,,,12,university,동국대 일반공지,https://www.dongguk.edu/article/GENERALNOTICES/list,https://www.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_004,dongguk,,,12,university,동국대 학사공지,https://www.dongguk.edu/article/HAKSANOTICE/list,https://www.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_005,dongguk,,,12,university,동국대 장학공지,https://www.dongguk.edu/article/JANGHAKNOTICE/list,https://www.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,서울 본교 학부 장학
dongguk_006,dongguk,경영대학,,194,college,동국대 경영대학 학사공지,https://sba.dongguk.edu/article/notice/list,https://sba.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_007,dongguk,경찰사법대학,,193,college,동국대 경찰사법대학 공지,https://justice.dongguk.edu/article/notice/list,https://justice.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
dongguk_008,dongguk,공과대학,,196,college,동국대 공과대학 공지,https://engineer.dongguk.edu/article/notice1/list,https://engineer.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_009,dongguk,문과대학,,189,college,동국대 문과대학 공지,https://liberal.dongguk.edu/article/notice/list,https://liberal.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_010,dongguk,미래융합대학,,201,college,동국대 미래융합대학 공지,https://fc.dongguk.edu/bbs/data/list.do?menu_idx=128,https://fc.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_011,dongguk,바이오시스템대학,,195,college,동국대 바이오시스템대학 공지,https://life.dongguk.edu/article/notice/list,https://life.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_012,dongguk,법과대학,,191,college,동국대 법과대학 학부 공지,https://law.dongguk.edu/article/notice1/list,https://law.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
dongguk_013,dongguk,불교대학,,188,college,동국대 불교대학 공지,https://bs.dongguk.edu/article/notice/list,https://bs.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_014,dongguk,사범대학,,198,college,동국대 사범대학 공지,https://edu.dongguk.edu/article/notice/list,https://edu.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_015,dongguk,사회과학대학,,192,college,동국대 사회과학대학 공지,https://social.dongguk.edu/article/notice/list,https://social.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_016,dongguk,약학대학,,200,college,동국대 약학대학 공지,https://pharm.dongguk.edu/article/notice/list,https://pharm.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
dongguk_017,dongguk,열린전공학부,,202,college,동국대 열린전공학부 공지,https://open.dongguk.edu/article/notice/list,https://open.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
dongguk_018,dongguk,예술대학,,199,college,동국대 예술대학 공지,https://art.dongguk.edu/article/notice/list,https://art.dongguk.edu,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
