source_id,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,enabled,org_unit_id
ewha_001,이화여대 간호학부,https://nursing.ewha.ac.kr/nursing/intro/nursing-undergraduate-news.do,https://nursing.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,674
ewha_002,이화여대 경영학부,https://biz.ewha.ac.kr/biz/biz/notice.do,https://biz.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,656
ewha_003,이화여대 건축도시시스템공학과,https://ewharchi.ewha.ac.kr/ewharchi/board/scholarship-notice.do,https://ewharchi.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,648
ewha_004,이화여대 건축학과,https://ea.ewha.ac.kr/sj,https://ea.ewha.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,649
ewha_005,이화여대 기후에너지시스템공학과,https://cese.ewha.ac.kr/cese/alram/notice.do,https://cese.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,650
ewha_006,이화여대 융합전자반도체공학부,https://ee.ewha.ac.kr/ewhaeleca/information/notice.do,https://ee.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,652
ewha_007,이화여대 식품생명공학과,https://foodbiotech.ewha.ac.kr/foodbiotech/board/notice.do,https://foodbiotech.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,651
ewha_008,이화여대 화공신소재공학과,https://chems.ewha.ac.kr/scholarship/,https://chems.ewha.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,653
ewha_009,이화여대 환경공학과,https://environewha.ewha.ac.kr/environewha/board/notice.do,https://environewha.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,654
ewha_010,이화여대 휴먼기계바이오공학과,https://mbe.ewha.ac.kr/mbeadmin/community/notice.do,https://mbe.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,655
ewha_011,이화여대 과학교육과,https://myr.ewha.ac.kr/sciedu/board/notice.do,https://myr.ewha.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|articleNo=|boardNo=|nttNo=|idx=|no=\d+),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,663
ewha_012,이화여대 교육공학과,https://cms.ewha.ac.kr/user/indexSub.action?codyMenuSeq=5843682&siteId=et&menuUIType=top,https://cms.ewha.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,true,664
