source_id,university_slug,college_name,department_name,org_unit_id,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled,notes
ou_1688_univ_001,ou_1688,,,1688,university,가야대학교(고령) 장학공지,https://www.kaya.ac.kr/Home/BBSList.mbz?action=MAPP_0000000411,https://www.kaya.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 장학공지(고령·김해 공통)
ou_1689_univ_001,ou_1689,,,1689,university,가야대학교(김해) 장학공지,https://www.kaya.ac.kr/Home/BBSList.mbz?action=MAPP_0000000411,https://www.kaya.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 장학공지(고령·김해 공통)
ou_1690_univ_001,ou_1690,,,1690,university,가천대학교 장학공지,https://www.gachon.ac.kr/kor/1146/subview.do,https://www.gachon.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 장학공지 게시판
ou_1700_univ_001,ou_1700,,,1700,university,가톨릭관동대학교 장학공지,https://www.cku.ac.kr/bbs/cku_kr/1202/artclList.do,https://www.cku.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 장학공지
ou_1707_univ_001,ou_1707,,,1707,university,가톨릭꽃동네대학교 장학공지,https://www.kkot.ac.kr/welfare/board/list?boardManagementNo=1252&menuLevel=2&menuNo=288,https://www.kkot.ac.kr,,a[href],,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=medium | 커뮤니티 공지사항(장학 글 혼재); 전용 장학보드 미확인
ou_1711_univ_001,ou_1711,,,1711,university,가톨릭대학교 장학공지,https://www.catholic.ac.kr/ko/campuslife/notice.do?mode=list&srCategoryId=22,https://www.catholic.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 공지사항>장학
ou_1732_univ_001,ou_1732,,,1732,university,감리교신학대학교 장학공지,https://www.mtu.ac.kr/mtu/board/list.do?mId=160,https://www.mtu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 장학/학자금 공지
ou_1737_univ_001,ou_1737,,,1737,university,강남대학교 장학공지,https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117,https://web.kangnam.ac.kr,,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 강남광장>공지사항>장학
ou_1745_univ_001,ou_1745,,,1745,university,강서대학교 장학공지,https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703,https://gangseo.ac.kr,,a[href],,,,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 강서소통광장>장학공지
ou_1751_univ_001,ou_1751,,,1751,university,강원대학교 장학공지,https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232,https://itcall.kangwon.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 대학생활>장학안내>장학 게시판
