source_id,university_slug,college_name,department_name,org_unit_id,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled,notes
hufs_001,hufs,,,1153,university,한국외대 학생지원·장학팀 공지,https://dep.hufs.ac.kr/student/12767/subview.do,https://dep.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,장학 미러
hufs_002,hufs,,,1153,university,한국외대 학사공지,https://www.hufs.ac.kr/hufs/11282/subview.do,https://www.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
hufs_003,hufs,,,1153,university,한국외대 장학공지,https://www.hufs.ac.kr/hufs/11283/subview.do,https://www.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,대학본부 장학; [서울]/[글로벌]/[공통] 태그
hufs_004,hufs,경상대학,,1231,college,한국외대 경상대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 공지 보드 미확인
hufs_005,hufs,경영대학,,1189,college,한국외대 경영대학 공지,https://biz.hufs.ac.kr/biz/7862/subview.do,https://biz.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
hufs_006,hufs,공과대학,,1226,college,한국외대 공과대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 공지 보드 미확인
hufs_007,hufs,국가전략언어대학,,1208,college,한국외대 국가전략언어대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 공지 보드 미확인
hufs_008,hufs,국제학부,,1199,college,한국외대 국제학부 공지,https://hufsdis.hufs.ac.kr/hufsdis/m05_s01.do,https://hufsdis.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
hufs_009,hufs,기후변화융합학부,,1238,college,한국외대 기후변화융합학부,https://cc.hufs.ac.kr/cc/m05_s01.do,https://cc.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부; 공지 보드 확인
hufs_010,hufs,바이오메디컬공학부,,1237,college,한국외대 바이오메디컬공학부 공지,https://bme.hufs.ac.kr/bme/4298/subview.do,https://bme.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
hufs_011,hufs,사범대학,,1190,college,한국외대 사범대학 공지사항,https://eduhufs.hufs.ac.kr/bbs/eduhufs/695/artclList.do,https://eduhufs.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
hufs_012,hufs,사회과학대학,,1182,college,한국외대 사회과학대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 공지 보드 미확인
hufs_013,hufs,상경대학,,1186,college,한국외대 상경대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 공지 보드 미확인(경제학부 보드와 분리)
hufs_014,hufs,서양어대학,,1158,college,한국외대 서양어대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 공지 보드 미확인
hufs_015,hufs,아시아언어문화대학,,1167,college,한국외대 아시아언어문화대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 공지 보드 미확인
hufs_016,hufs,영어대학,,1154,college,한국외대 영어대학 공지,https://builder.hufs.ac.kr/user/boardList.action?boardId=115271510&page=1,https://builder.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,구 builder CMS
hufs_017,hufs,융합인재대학,,1234,college,한국외대 융합인재대학 공지,https://ingenium.hufs.ac.kr/ingenium/5076/subview.do,https://ingenium.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
hufs_018,hufs,인문대학,,1204,college,한국외대 인문대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 공지 보드 미확인
hufs_019,hufs,일본학대학,,1179,college,한국외대 일본학대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 공지 보드 미확인
hufs_020,hufs,자연과학대학,,1219,college,한국외대 자연과학대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 공지 보드 미확인
hufs_021,hufs,자유전공학부(글로벌),,1239,college,한국외대 자유전공학부(글로벌) 공지,https://dep.hufs.ac.kr/gomd/7271/subview.do,https://dep.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
hufs_022,hufs,자유전공학부(서울),,1203,college,한국외대 자유전공학부(서울),https://somd.hufs.ac.kr/somd/m05_s01.do,https://somd.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부; 서울 전용 공지 확인
hufs_023,hufs,중국학대학,,1176,college,한국외대 중국학대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 공지 보드 미확인
hufs_024,hufs,AI융합대학(글로벌),,1236,college,한국외대 AI융합대학(글로벌)/Finance&AI 공지,https://aifinance.hufs.ac.kr/aifinance/m05_s01.do,https://aifinance.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
hufs_025,hufs,AI융합대학,,1196,college,한국외대 AI융합대학(서울),,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인(학부 보드와 분리)
hufs_026,hufs,Culture & Technology융합대학,,1235,college,한국외대 Culture & Technology융합대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,공지 보드 미확인
hufs_027,hufs,KFL학부,,1202,college,한국외대 KFL학부 공지,https://hufskfl.hufs.ac.kr/hufskfl/m05_s01.do,https://hufskfl.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
hufs_028,hufs,LD학부,,1200,college,한국외대 LD학부 공지,https://ld.hufs.ac.kr/ld/m05_s01.do,https://ld.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
hufs_029,hufs,LT학부,,1201,college,한국외대 LT학부 공지,https://lt.hufs.ac.kr/lt/11012/subview.do,https://lt.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
hufs_030,hufs,경상대학,국제금융학과,1233,department,한국외대 국제금융학과,https://if.hufs.ac.kr/if/5187/subview.do,https://if.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
hufs_031,hufs,경상대학,Global Business & Technology학부,1232,department,한국외대 GBT학부,https://gbt.hufs.ac.kr/gbt/6322/subview.do,https://gbt.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
hufs_032,hufs,공과대학,산업경영공학과,1230,department,한국외대 산업경영공학과,https://ime.hufs.ac.kr/ime/m05_s01.do,https://ime.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
hufs_033,hufs,공과대학,전자공학부,1229,department,한국외대 전자공학부,https://semi.hufs.ac.kr/semi/m05_s01.do,https://semi.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
hufs_034,hufs,공과대학,정보통신공학과,1228,department,한국외대 정보통신공학과,https://ice.hufs.ac.kr/ice/1009/subview.do,https://ice.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
hufs_035,hufs,공과대학,컴퓨터공학부,1227,department,한국외대 컴퓨터공학부 공지,https://computer.hufs.ac.kr/computer/10058/subview.do,https://computer.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
hufs_036,hufs,국가전략언어대학,그리스·불가리아학과,1214,department,한국외대 그리스·불가리아학과,https://gb.hufs.ac.kr/gb/m05_s01.do,https://gb.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
hufs_037,hufs,국가전략언어대학,루마니아학과,1210,department,한국외대 루마니아학과,https://romania.hufs.ac.kr/romania/3336/subview.do,https://romania.hufs.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
