source_id,university_slug,college_name,department_name,org_unit_id,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled,notes
konkuk_001,konkuk,,,11,university,건국대 글로컬 학사공지,https://www.kku.ac.kr/cms/FR_CON/index.do?MENU_ID=1740,https://www.kku.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,글로컬(충주) 캠퍼스
konkuk_002,konkuk,,,11,university,건국대 글로컬 장학공지,https://www.kku.ac.kr/cms/FR_CON/index.do?MENU_ID=1750,https://www.kku.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,글로컬(충주) 캠퍼스
konkuk_003,konkuk,,,11,university,건국대 학사공지,https://www.konkuk.ac.kr/bbs/konkuk/234/artclList.do,https://www.konkuk.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,서울캠퍼스
konkuk_004,konkuk,,,11,university,건국대 장학공지,https://www.konkuk.ac.kr/bbs/konkuk/235/artclList.do,https://www.konkuk.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,서울캠퍼스; 장학복지팀
konkuk_005,konkuk,,,11,university,건국대 학생공지,https://www.konkuk.ac.kr/bbs/konkuk/238/artclList.do,https://www.konkuk.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,서울캠퍼스
konkuk_006,konkuk,,,11,university,건국대 일반공지,https://www.konkuk.ac.kr/bbs/konkuk/240/artclList.do,https://www.konkuk.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,서울캠퍼스
konkuk_007,konkuk,건축대학,,177,college,건국대 건축대학 일반공지,https://www.konkuk.ac.kr/bbs/caku/397/artclList.do,https://www.konkuk.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
konkuk_008,konkuk,경영대학,,180,college,건국대 경영대학 공지,https://www.konkuk.ac.kr/bbs/kbs/437/artclList.do,https://www.konkuk.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
konkuk_009,konkuk,공과대학,,178,college,건국대 공과대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인(전공별 구학부 보드 존재)
konkuk_010,konkuk,문과대학,,175,college,건국대 문과대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
