source_id,university_slug,college_name,department_name,org_unit_id,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled,notes
kookmin_001,kookmin,,,90000,university,국민대 학사공지,https://www.kookmin.ac.kr/user/kmuNews/notice/4/index.do,https://www.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_002,kookmin,,,90000,university,국민대 장학공지,https://www.kookmin.ac.kr/user/kmuNews/notice/7/index.do,https://www.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,대학본부 장학
kookmin_003,kookmin,건축대학,,90061,college,국민대 건축대학 공지,https://archi.kookmin.ac.kr/life/notice/,https://archi.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
kookmin_004,kookmin,경상대학,,90017,college,국민대 경상대학 공지,https://kyungsang.kookmin.ac.kr/community/board/notice/,https://kyungsang.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_005,kookmin,경영대학,,90020,college,국민대 경영대학 공지,https://biz.kookmin.ac.kr/community/notice/,https://biz.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_006,kookmin,공과대학,,90027,college,국민대 공과대학 장학공지,https://engineering.kookmin.ac.kr/engineering/intro/notification_scholarship.do,https://engineering.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_007,kookmin,과학기술대학,,90042,college,국민대 과학기술대학 공지,https://cst.kookmin.ac.kr/community/notice/,https://cst.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,2027 바이오/양자 개편 시 보드 재확인
kookmin_008,kookmin,교양대학,,90067,college,국민대 교양대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,독립학부; 전용 보드 미확인(본부 미러만 확인)
kookmin_009,kookmin,글로벌인문·지역대학,,90001,college,국민대 글로벌인문·지역대학 공지,https://cha.kookmin.ac.kr/community/college/notice/,https://cha.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_010,kookmin,미래융합대학,,90066,college,국민대 미래융합대학 공지,https://kmu-cts.kookmin.ac.kr/kmu-cts/etc/sitemap016.do,https://kmu-cts.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
kookmin_011,kookmin,법과대학,,90014,college,국민대 법과대학 공지,https://law.kookmin.ac.kr/law/etc-board/notice01.do,https://law.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_012,kookmin,사회과학대학,,90006,college,국민대 사회과학대학 공지,https://social.kookmin.ac.kr/social/menu/social_notice.do,https://social.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,활동 저조 가능
kookmin_013,kookmin,소프트웨어융합대학,,90058,college,국민대 소프트웨어융합대학 SW학사공지,https://cs.kookmin.ac.kr/news/notice/,https://cs.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_014,kookmin,예술대학,,90050,college,국민대 예술대학 공지,https://art.kookmin.ac.kr/community/notice/,https://art.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_015,kookmin,자동차모빌리티대학,,90062,college,국민대 자동차모빌리티대학 학사공지,https://auto.kookmin.ac.kr/board/notice/,https://auto.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_016,kookmin,조형대학,,90032,college,국민대 조형대학 학사공지,https://design.kookmin.ac.kr/community/notice/,https://design.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_017,kookmin,체육대학,,90054,college,국민대 체육대학 공지,https://sport.kookmin.ac.kr/sports/notice/notice01.do,https://sport.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_018,kookmin,KMU International Business School,,90026,college,국민대 KIBS 공지,https://kibs.kookmin.ac.kr/notice/,https://kibs.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
kookmin_019,kookmin,경상대학,경제학과,90018,department,국민대 경제학과,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,공지 URL 미확인
kookmin_020,kookmin,경상대학,국제통상학과,90019,department,국민대 국제통상학과,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,공지 URL 미확인
kookmin_021,kookmin,경영대학,경영정보학부,90022,department,국민대 경영정보학부,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,공지 URL 미확인
kookmin_022,kookmin,경영대학,경영학부,90021,department,국민대 경영학부,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,공지 URL 미확인
kookmin_023,kookmin,경영대학,기업경영학부,90024,department,국민대 기업경영학부,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,공지 URL 미확인
kookmin_024,kookmin,경영대학,회계세무학과,90025,department,국민대 회계세무학과,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,공지 URL 미확인
kookmin_025,kookmin,경영대학,AI빅데이터융합경영학과,90023,department,국민대 AI빅데이터융합경영학과,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,공지 URL 미확인
kookmin_026,kookmin,공과대학,건설시스템공학부,90030,department,국민대 건설시스템공학부 학부공지,https://cms.kookmin.ac.kr/cee/bbs/notice.do,https://cms.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
kookmin_027,kookmin,공과대학,기계공학부,90029,department,국민대 기계공학부 학부공지,https://me.kookmin.ac.kr/mech/bbs/notice.do,https://me.kookmin.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
