source_id,university_slug,college_name,department_name,org_unit_id,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled,notes
sogang_001,sogang,,,4,university,서강대 학부 학사공지,https://www.sogang.ac.kr/ko/academic-support/notices,https://www.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,학사지원 학사공지
sogang_002,sogang,,,4,university,서강대 장학공지,https://www.sogang.ac.kr/ko/scholarship-notice,https://www.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,신 홈페이지 장학공지; 게시 0건일 수 있음
sogang_003,sogang,경영대학,,72,college,서강대 경영대학 공지사항,https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=2371&siteId=sbs,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
sogang_004,sogang,경제대학,,71,college,서강대 경제대학 학부 공지,https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=2607&siteId=econ,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,장학 카테고리 포함
sogang_005,sogang,공과대학,,76,college,서강대 공과대학 일반공지,https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=1624&siteId=eng,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
sogang_006,sogang,로욜라국제대학,,74,college,서강대 로욜라국제대학 공지사항,https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=6633&siteId=lic,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,siteId=lic (한국어)
sogang_007,sogang,사회과학대학,,70,college,서강대 사회과학대학 공지사항,https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=901&siteId=sdoss,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
sogang_008,sogang,소프트웨어융합대학,,77,college,서강대 소프트웨어융합대학 공지사항,https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=7332&siteId=computing,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,computing.sogang.ac.kr
sogang_009,sogang,인문대학,,69,college,서강대 인문대학 공지사항,https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=4066&siteId=liberalarts,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
sogang_010,sogang,자연과학대학,,75,college,서강대 자연과학대학 주요공지,https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=681&siteId=science,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,siteId=science
sogang_011,sogang,지식융합미디어대학,,73,college,서강대 지식융합미디어대학 공지사항,https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=1805&siteId=smas,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
sogang_012,sogang,경영대학,경영학부,469,department,서강대 경영학부 공지사항,https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=2371&siteId=sbs,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,단과대 보드와 동일
sogang_013,sogang,경제대학,경제학과,468,department,서강대 경제학과 공지사항,https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=2607&siteId=econ,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,단과대 학부 보드와 동일
sogang_014,sogang,공과대학,기계공학과,480,department,서강대 기계공학과 공지사항,https://me.sogang.ac.kr/v2/bbs/board.php?bo_table=sub6_1,https://me.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
sogang_015,sogang,공과대학,시스템반도체공학과,481,department,서강대 시스템반도체공학과 공지사항,https://sse.sogang.ac.kr/kor/community/notice.php,https://sse.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,CMS FK=5650 대안
sogang_016,sogang,공과대학,전자공학과,482,department,서강대 전자공학과 학사공지,https://ee.sogang.ac.kr/kor/community/notice03.php,https://ee.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,일반공지: notice02.php
sogang_017,sogang,공과대학,화공생명공학과,483,department,서강대 화공생명공학과 취업/장학,https://chemeng.sogang.ac.kr/kor/sub/05_05.php,https://chemeng.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,학사: /kor/sub/05_04.php
sogang_018,sogang,로욜라국제대학,게페르트국제학부,473,department,서강대 게페르트국제학부(로욜라 공지),https://scc.sogang.ac.kr/front/cmsboardlist.do?bbsConfigFK=6633&siteId=lic,https://scc.sogang.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,단과대
