source_id,university_slug,college_name,department_name,org_unit_id,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled,notes
sookmyung_001,sookmyung,,,93000,university,숙명여대 주요공지(전체),https://www.sookmyung.ac.kr/kr/news/important-notice.do,https://www.sookmyung.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
sookmyung_002,sookmyung,,,93000,university,숙명여대 주요공지(장학),https://www.sookmyung.ac.kr/kr/news/important-notice.do?mode=list&srCategoryId=46,https://www.sookmyung.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,대학본부 장학 카테고리
sookmyung_003,sookmyung,경상대학,,93039,college,숙명여대 경상대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
sookmyung_004,sookmyung,공과대학,,93018,college,숙명여대 공과대학 공지,https://eng.sookmyung.ac.kr/eng/5629/subview.do,https://eng.sookmyung.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
sookmyung_005,sookmyung,글로벌서비스학부,,93055,college,숙명여대 글로벌서비스학부 공지,https://global.sookmyung.ac.kr/notice/,https://global.sookmyung.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
sookmyung_006,sookmyung,문과대학,,93001,college,숙명여대 문과대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
sookmyung_007,sookmyung,미디어학부,,93057,college,숙명여대 미디어학부 공지,https://home.sookmyung.ac.kr/media/11598/subview.do,https://home.sookmyung.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
sookmyung_008,sookmyung,미술대학,,93048,college,숙명여대 미술대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
sookmyung_009,sookmyung,법과대학,,93038,college,숙명여대 법과대학 공지,https://law.sookmyung.ac.kr/law/board/notice.do,https://law.sookmyung.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
sookmyung_010,sookmyung,사회과학대학,,93032,college,숙명여대 사회과학대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
