source_id,university_slug,college_name,department_name,org_unit_id,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled,notes
soongsil_001,soongsil,,,91000,university,숭실대 SSU:catch 공지(전체),https://scatch.ssu.ac.kr/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/,https://scatch.ssu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
soongsil_002,soongsil,,,91000,university,숭실대 SSU:catch 장학공지,https://scatch.ssu.ac.kr/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/?category=%EC%9E%A5%ED%95%99,https://scatch.ssu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,대학본부 장학 카테고리
soongsil_003,soongsil,경영대학,,91034,college,숭실대 경영대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
soongsil_004,soongsil,경제통상대학,,91029,college,숭실대 경제통상대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
soongsil_005,soongsil,공과대학,,91039,college,숭실대 공과대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
soongsil_006,soongsil,법과대학,,91019,college,숭실대 법과대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인(학과 보드 사용)
soongsil_007,soongsil,베어드학부대학,,91056,college,숭실대 베어드학부대학 공지,https://ssubaird.ssu.ac.kr/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/,https://ssubaird.ssu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
soongsil_008,soongsil,사회과학대학,,91022,college,숭실대 사회과학대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
soongsil_009,soongsil,인문대학,,91001,college,숭실대 인문대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
soongsil_010,soongsil,자연과학대학,,91013,college,숭실대 자연과학대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
soongsil_011,soongsil,자유전공학부,,91055,college,숭실대 자유전공학부 장학,https://sls.ssu.ac.kr/%ED%95%99%EB%B6%80%EC%86%8C%EC%8B%9D/%EC%9E%A5%ED%95%99/,https://sls.ssu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
soongsil_012,soongsil,AI대학,,91054,college,숭실대 AI대학 공지,https://ai.ssu.ac.kr/board/notice,https://ai.ssu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,독립학부
soongsil_013,soongsil,IT대학,,91046,college,숭실대 IT대학,,,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,false,단과대 전용 보드 미확인
soongsil_014,soongsil,경영대학,경영학부,91035,department,숭실대 경영학부 공지,https://biz.ssu.ac.kr/bbs/list.do?bId=BBS_03_NOTICE,https://biz.ssu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
soongsil_015,soongsil,경영대학,금융학부,91038,department,숭실대 금융학부 행정공지,https://finance.ssu.ac.kr/%EA%B2%8C%EC%8B%9C%ED%8C%90/%ED%96%89%EC%A0%95%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/,https://finance.ssu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
soongsil_016,soongsil,경영대학,벤처중소기업학과,91036,department,숭실대 벤처중소기업학과 공지,https://ensb.ssu.ac.kr/%ED%95%99%EB%B6%80%EC%95%8C%EB%A6%BC/%ED%95%99%EB%B6%80%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/,https://ensb.ssu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
soongsil_017,soongsil,경영대학,회계학과,91037,department,숭실대 회계학과 행정공지,https://accounting.ssu.ac.kr/%EA%B2%8C%EC%8B%9C%ED%8C%90/%ED%96%89%EC%A0%95%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/,https://accounting.ssu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
soongsil_018,soongsil,경제통상대학,경제학과,91030,department,숭실대 경제학과 공지,https://eco.ssu.ac.kr/bbs/board.php?bo_table=notice,https://eco.ssu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
soongsil_019,soongsil,경제통상대학,국제무역학과,91033,department,숭실대 국제무역학과 공지,https://itrans.ssu.ac.kr/community/%EA%B3%B5%EC%A7%80%EC%82%AC%ED%95%AD/,https://itrans.ssu.ac.kr,,,,,,,,장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,
