org_unit_id,school_name,school_type,region_sido,scholarship_notice_url,confidence,note
1688,가야대학교(고령),대학교,경상북도,https://www.kaya.ac.kr/Home/BBSList.mbz?action=MAPP_0000000411,high,장학공지(고령·김해 공통)
1689,가야대학교(김해),대학교,경상남도,https://www.kaya.ac.kr/Home/BBSList.mbz?action=MAPP_0000000411,high,장학공지(고령·김해 공통)
1690,가천대학교,대학교,경기도,https://www.gachon.ac.kr/kor/1146/subview.do,high,장학공지 게시판
1700,가톨릭관동대학교,대학교,강원특별자치도,https://www.cku.ac.kr/bbs/cku_kr/1202/artclList.do,high,장학공지
1707,가톨릭꽃동네대학교,대학교,충청북도,https://www.kkot.ac.kr/welfare/board/list?boardManagementNo=1252&menuLevel=2&menuNo=288,medium,커뮤니티 공지사항(장학 글 혼재); 전용 장학보드 미확인
1711,가톨릭대학교,대학교,경기도,https://www.catholic.ac.kr/ko/campuslife/notice.do?mode=list&srCategoryId=22,high,공지사항>장학
1732,감리교신학대학교,대학교,서울특별시,https://www.mtu.ac.kr/mtu/board/list.do?mId=160,high,장학/학자금 공지
1737,강남대학교,대학교,경기도,https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117,high,강남광장>공지사항>장학
1745,강서대학교,대학교,서울특별시,https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703,high,강서소통광장>장학공지
1751,강원대학교,대학교,강원특별자치도,https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232,high,대학생활>장학안내>장학 게시판
11,건국대학교,대학교,서울특별시,https://www.konkuk.ac.kr/bbs/konkuk/235/artclList.do,high,장학공지
1779,건국대학교(글로컬),대학교,충청북도,https://www.kku.ac.kr/cms/FR_CON/index.do?MENU_ID=1750,high,글로컬 장학공지
1786,건양대학교,대학교,충청남도,https://www.konyang.ac.kr/cop/bbs/BBSMSTR_000000000585/selectBoardList.do,high,장학·학자금 공지
1798,경기대학교,대학교,경기도,https://www.kyonggi.ac.kr/scholarship/selectBbsNttList.do?bbsNo=518&key=3078,high,장학지원팀 공지사항
1821,경남과학기술대학교,대학교,경상남도,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,low,2021년 경상국립대 통합; 별도 보드 없음→GNU Today 장학
1826,경남대학교,대학교,경상남도,https://www.kyungnam.ac.kr/ko/8460/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGa28lMkYxNDA3JTJGYXJ0Y2xMaXN0LmRvJTNG,high,장학공지
1836,경동대학교,대학교,강원특별자치도,https://kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN284&mgr_seq=509&mode=list,high,경동알림>장학공지
1841,경북대학교,대학교,대구광역시,https://knu.ac.kr/wbbs/wbbs/bbs/btin/list.action?bbs_cde=1&menu_idx=67,medium,학사공지(장학 포함); 전용보드 미확인
1864,경상국립대학교,대학교,경상남도,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,medium,GNU Today>Scholarships(한글 mi 미확인)
1878,경성대학교,대학교,부산광역시,https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060,high,장학정보 공지
1888,경운대학교,대학교,경상북도,https://www.ikw.ac.kr/page/link.tc?mn=2589&pageSeq=1929,high,장학/학자금 공지
1892,경인교육대학교,교육대학,경기도,https://www.ginue.ac.kr/kor/CMS/Board/Board.do?mCode=MN126&mgr_seq=90&mode=list,high,커뮤니티>장학공지
1895,경일대학교,대학교,경상북도,https://www.kiu.ac.kr/pages/sub.htm?nav_code=kiu1540189661,high,경일소식>장학/학자금
9,경희대학교,대학교,서울특별시,https://janghak.khu.ac.kr/janghak/user/bbs/BMSR00040/list.do?menuNo=12300032,high,장학 포털
1923,계명대학교,대학교,대구광역시,https://www.kmu.ac.kr/uni/main/page.jsp?mnu_uid=145,high,열린마당>장학
1,고려대학교,대학교,서울특별시,https://scholarship.korea.ac.kr/scholarship/application/notice.do,high,학부 장학 공지
1961,고려대학교(세종),대학교,세종특별자치시,https://sejong.korea.ac.kr/koreaSejong/7906/subview.do,high,장학공지
1973,고신대학교,대학교,부산광역시,https://www.kosin.ac.kr/kr/index.php?pCode=scholarshipNews,high,장학소식
1982,공주교육대학교,교육대학,충청남도,https://www.gjue.ac.kr/kor/article/BBSMSTR_000000000108,high,학교소식>장학공지
1986,광신대학교,대학교,광주광역시,https://www.kwangshin.ac.kr/front/boardList.do?brd_mgrno=180&menu_no=442,medium,커뮤니티 공지사항(장학 포함); 전용보드 미확인
1995,광운대학교,대학교,서울특별시,https://www.kw.ac.kr/ko/life/notice.jsp?srCategoryId=4,high,등록/장학 공지
