source_id,source_name,university_name,list_url,base_url,org_unit_id,university_slug,notes,initial_status,initial_error_bucket,initial_observed_count,initial_matched_count,initial_new_count,cohort
ou_1688_univ_001,가야대학교(고령) 장학공지,가야대학교(고령),https://www.kaya.ac.kr/Home/BBSList.mbz?action=MAPP_0000000411,https://www.kaya.ac.kr,1688,ou_1688,confidence=high | 장학공지(고령·김해 공통),success,success,3,0,0,success_with_items
ou_1689_univ_001,가야대학교(김해) 장학공지,가야대학교(김해),https://www.kaya.ac.kr/Home/BBSList.mbz?action=MAPP_0000000411,https://www.kaya.ac.kr,1689,ou_1689,confidence=high | 장학공지(고령·김해 공통),success,success,3,0,0,success_with_items
ou_1690_univ_001,가천대학교 장학공지,가천대학교,https://www.gachon.ac.kr/kor/1146/subview.do,https://www.gachon.ac.kr,1690,ou_1690,confidence=high | 장학공지 게시판,empty_observed,empty_observed,0,0,0,error_90
ou_1700_univ_001,가톨릭관동대학교 장학공지,가톨릭관동대학교,https://www.cku.ac.kr/bbs/cku_kr/1202/artclList.do,https://www.cku.ac.kr,1700,ou_1700,confidence=high | 장학공지,empty_observed,empty_observed,0,0,0,error_90
ou_1707_univ_001,가톨릭꽃동네대학교 장학공지,가톨릭꽃동네대학교,https://www.kkot.ac.kr/welfare/board/list?boardManagementNo=1252&menuLevel=2&menuNo=288,https://www.kkot.ac.kr,1707,ou_1707,confidence=medium | 커뮤니티 공지사항(장학 글 혼재); 전용 장학보드 미확인,success,success,2,0,0,success_with_items
ou_1711_univ_001,가톨릭대학교 장학공지,가톨릭대학교,https://www.catholic.ac.kr/ko/campuslife/notice.do?mode=list&srCategoryId=22,https://www.catholic.ac.kr,1711,ou_1711,confidence=high | 공지사항>장학,success,success,10,10,10,success_with_items
ou_1732_univ_001,감리교신학대학교 장학공지,감리교신학대학교,https://www.mtu.ac.kr/mtu/board/list.do?mId=160,https://www.mtu.ac.kr,1732,ou_1732,confidence=high | 장학/학자금 공지,empty_observed,empty_observed,0,0,0,error_90
ou_1737_univ_001,강남대학교 장학공지,강남대학교,https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117,https://web.kangnam.ac.kr,1737,ou_1737,confidence=high | 강남광장>공지사항>장학,empty_observed,empty_observed,0,0,0,error_90
ou_1745_univ_001,강서대학교 장학공지,강서대학교,https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703,https://gangseo.ac.kr,1745,ou_1745,confidence=high | 강서소통광장>장학공지,timeout,attempt_timeout,0,0,0,error_90
ou_1751_univ_001,강원대학교 장학공지,강원대학교,https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232,https://itcall.kangwon.ac.kr,1751,ou_1751,confidence=high | 대학생활>장학안내>장학 게시판,http_error,http_error,0,0,0,error_90
