source_id,source_name,university_slug,final_status,reason_code,crawled_count,matched_count,new_count,in_unresolved_51_baseline,unresolved_51_outcome
ou_1688_univ_001,가야대학교(고령) 장학공지,ou_1688,success,success,3,0,0,false,
ou_1689_univ_001,가야대학교(김해) 장학공지,ou_1689,success,success,3,0,0,false,
ou_1690_univ_001,가천대학교 장학공지,ou_1690,success,recovered_after_retry,12,12,12,false,
ou_1700_univ_001,가톨릭관동대학교 장학공지,ou_1700,success,success,3,3,3,false,
ou_1707_univ_001,가톨릭꽃동네대학교 장학공지,ou_1707,success,success,2,0,0,false,
ou_1711_univ_001,가톨릭대학교 장학공지,ou_1711,success,success,11,11,11,false,
ou_1732_univ_001,감리교신학대학교 장학공지,ou_1732,success,success,9,9,9,true,recovered_with_items
ou_1737_univ_001,강남대학교 장학공지,ou_1737,empty_observed,empty_observed,0,0,0,true,verified_external_block
ou_1745_univ_001,강서대학교 장학공지,ou_1745,empty_observed,empty_observed,0,0,0,true,still_unresolved
ou_1751_univ_001,강원대학교 장학공지,ou_1751,http_error,http_error,0,0,0,true,verified_external_block
ou_11_univ_001,건국대학교 장학공지,ou_11,success,success,13,13,13,false,
ou_1779_univ_001,건국대학교(글로컬) 장학공지,ou_1779,success,success,15,15,15,true,recovered_with_items
ou_1786_univ_001,건양대학교 장학공지,ou_1786,success,success,11,11,11,true,recovered_with_items
ou_1798_univ_001,경기대학교 장학공지,ou_1798,success,success,0,0,0,false,
ou_1821_univ_001,경남과학기술대학교 장학공지,ou_1821,success,success,8,8,8,true,recovered_with_items
ou_1826_univ_001,경남대학교 장학공지,ou_1826,success,success,13,13,13,false,
ou_1836_univ_001,경동대학교 장학공지,ou_1836,success,success,8,8,8,false,
ou_1841_univ_001,경북대학교 장학공지,ou_1841,success,success,0,0,0,false,
ou_1864_univ_001,경상국립대학교 장학공지,ou_1864,success,success,8,8,0,true,recovered_with_items
ou_1878_univ_001,경성대학교 장학공지,ou_1878,timeout,attempt_timeout,0,0,0,false,
ou_1888_univ_001,경운대학교 장학공지,ou_1888,network_error,transport_http_forbidden,0,0,0,true,temporarily_unavailable
ou_1892_univ_001,경인교육대학교 장학공지,ou_1892,success,success,8,8,8,false,
ou_1895_univ_001,경일대학교 장학공지,ou_1895,success,success,8,0,0,false,
ou_9_univ_001,경희대학교 장학공지,ou_9,success,success,8,8,8,false,
ou_1923_univ_001,계명대학교 장학공지,ou_1923,network_error,network_error,0,0,0,true,temporarily_unavailable
ou_1_univ_001,고려대학교 장학공지,ou_1,network_error,network_error,0,0,0,true,temporarily_unavailable
ou_1961_univ_001,고려대학교(세종) 장학공지,ou_1961,success,success,10,10,10,false,
