source_id,source_name,list_url,initial_status,initial_error_bucket,initial_observed_count,initial_matched_count,root_cause_category,root_cause_confidence,root_cause_detail,site_structure,action_taken,changed_config,changed_code,diagnose_bucket,primary_failure_code,recovered,final_status,final_error_bucket,final_observed_count,final_matched_count,recent_notice_count,detail_access_status,canonical_url_status,body_status,attachment_status,candidate_handoff_status,launch_eligible,remaining_blocker,exact_next_action
ou_1688_univ_001,가야대학교(고령) 장학공지,https://www.kaya.ac.kr/Home/BBSList.mbz?action=MAPP_0000000411,success,success,3,0,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,3,0,0,success,success,success,not_evaluated,blocked,false,no_keyword_match_in_lookback,manual_review_with_saved_html_evidence
ou_1689_univ_001,가야대학교(김해) 장학공지,https://www.kaya.ac.kr/Home/BBSList.mbz?action=MAPP_0000000411,success,success,3,0,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,3,0,0,success,success,success,not_evaluated,blocked,false,no_keyword_match_in_lookback,manual_review_with_saved_html_evidence
ou_1690_univ_001,가천대학교 장학공지,https://www.gachon.ac.kr/kor/1146/subview.do,empty_observed,empty_observed,0,0,onclick_event_url_required,confirmed,List rows resolved after expanding notice_url_pattern to include artclView.do / event URL IDs,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,ok,URL_RESOLUTION_FAILED,true,success,recovered_after_retry,22,22,22,skipped,failed,skipped,not_evaluated,ready,true,,ingest_candidates_dry_run_then_admin_review
ou_1700_univ_001,가톨릭관동대학교 장학공지,https://www.cku.ac.kr/bbs/cku_kr/1202/artclList.do,empty_observed,empty_observed,0,0,onclick_event_url_required,confirmed,List rows resolved after expanding notice_url_pattern to include artclView.do / event URL IDs,STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,ok,URL_RESOLUTION_FAILED,true,success,success,3,3,3,skipped,failed,skipped,not_evaluated,ready,true,,ingest_candidates_dry_run_then_admin_review
ou_1707_univ_001,가톨릭꽃동네대학교 장학공지,https://www.kkot.ac.kr/welfare/board/list?boardManagementNo=1252&menuLevel=2&menuNo=288,success,success,2,0,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,2,0,0,success,success,success,not_evaluated,blocked,false,no_keyword_match_in_lookback,manual_review_with_saved_html_evidence
ou_1711_univ_001,가톨릭대학교 장학공지,https://www.catholic.ac.kr/ko/campuslife/notice.do?mode=list&srCategoryId=22,success,success,10,10,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,10,10,10,success,success,success,not_evaluated,ready,true,,ingest_candidates_dry_run_then_admin_review
ou_1732_univ_001,감리교신학대학교 장학공지,https://www.mtu.ac.kr/mtu/board/list.do?mId=160,empty_observed,empty_observed,0,0,detail_url_resolution_failed,high,List rows found but detail URL could not be extracted,SERVER_RENDERED_WITH_PAGINATION,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,ok,URL_RESOLUTION_FAILED,false,empty_observed,empty_observed,0,0,0,skipped,failed,skipped,not_evaluated,blocked,false,detail_url_resolution_failed,capture_onclick_payload_and_extend_generic_url_builder
ou_1737_univ_001,강남대학교 장학공지,https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117,empty_observed,empty_observed,0,0,list_selector_mismatch,confirmed,Configured list_item_selector matched 0 rows on fetched HTML,SERVER_RENDERED_WITH_PAGINATION|SOURCE_CONFIG_OR_SELECTOR_MISMATCH|STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,selector_miss,LIST_SELECTOR_ZERO_MATCHES,false,empty_observed,empty_observed,0,0,0,skipped,skipped,skipped,not_evaluated,blocked,false,list_selector_mismatch,retune_list_item_selector_against_live_html
ou_1745_univ_001,강서대학교 장학공지,https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703,timeout,attempt_timeout,0,0,timeout,confirmed,Source attempt timed out,UNKNOWN_NEEDS_MANUAL_REVIEW,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,fallback_scan,UNKNOWN_NEEDS_MANUAL_REVIEW,false,timeout,attempt_timeout,0,0,0,skipped,not_observed,skipped,not_evaluated,blocked,false,timeout,manual_browser_access_check_then_transport_policy_if_allowed
ou_1751_univ_001,강원대학교 장학공지,https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232,http_error,http_error,0,0,http_forbidden,high,Fetch/access failure: http_error/UNKNOWN_NEEDS_MANUAL_REVIEW,AUTH_OR_CAPTCHA_REQUIRED,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,fetch_error,UNKNOWN_NEEDS_MANUAL_REVIEW,false,http_error,http_error,0,0,0,skipped,not_observed,skipped,not_evaluated,blocked,false,http_forbidden,manual_browser_access_check_then_transport_policy_if_allowed
ou_11_univ_001,건국대학교 장학공지,https://www.konkuk.ac.kr/bbs/konkuk/235/artclList.do,empty_observed,empty_observed,0,0,onclick_event_url_required,confirmed,List rows resolved after expanding notice_url_pattern to include artclView.do / event URL IDs,STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,ok,URL_RESOLUTION_FAILED,true,success,success,20,20,20,skipped,failed,skipped,not_evaluated,ready,true,,ingest_candidates_dry_run_then_admin_review
ou_1779_univ_001,건국대학교(글로컬) 장학공지,https://www.kku.ac.kr/cms/FR_CON/index.do?MENU_ID=1750,empty_observed,empty_observed,0,0,list_selector_mismatch,confirmed,Configured list_item_selector matched 0 rows on fetched HTML,SERVER_RENDERED_WITH_PAGINATION|SOURCE_CONFIG_OR_SELECTOR_MISMATCH|STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,selector_miss,LIST_SELECTOR_ZERO_MATCHES,false,empty_observed,empty_observed,0,0,0,skipped,skipped,skipped,not_evaluated,blocked,false,list_selector_mismatch,retune_list_item_selector_against_live_html
ou_1786_univ_001,건양대학교 장학공지,https://www.konyang.ac.kr/cop/bbs/BBSMSTR_000000000585/selectBoardList.do,empty_observed,empty_observed,0,0,onclick_event_url_required,high,List selector matched rows but notice URLs failed pattern/event resolution,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,ok,URL_RESOLUTION_FAILED,false,timeout,attempt_timeout,0,0,0,skipped,failed,skipped,not_evaluated,blocked,false,onclick_event_url_required,capture_onclick_payload_and_extend_generic_url_builder
ou_1798_univ_001,경기대학교 장학공지,https://www.kyonggi.ac.kr/scholarship/selectBbsNttList.do?bbsNo=518&key=3078,success,success,0,0,valid_empty_board,low,Success with 0 observed items — needs empty-board vs filter confirmation,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_HREF,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,ok,DETAIL_URL_UNVERIFIED,false,success,success,0,0,0,success,success,success,not_evaluated,blocked,false,zero_observed_needs_empty_board_confirmation,confirm_empty_board_vs_date_filter_with_CRAWL_ALLOW_UNDATED
ou_1821_univ_001,경남과학기술대학교 장학공지,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,empty_observed,empty_observed,0,0,detail_url_resolution_failed,high,List rows found but detail URL could not be extracted,STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,link_extract_fail,MANUAL_BROWSER_NETWORK_REQUIRED,false,empty_observed,empty_observed,0,0,0,skipped,failed,skipped,not_evaluated,blocked,false,detail_url_resolution_failed,capture_onclick_payload_and_extend_generic_url_builder
ou_1826_univ_001,경남대학교 장학공지,https://www.kyungnam.ac.kr/ko/8460/subview.do?enc=Zm5jdDF8QEB8JTJGYmJzJTJGa28lMkYxNDA3JTJGYXJ0Y2xMaXN0LmRvJTNG,empty_observed,empty_observed,0,0,onclick_event_url_required,confirmed,List rows resolved after expanding notice_url_pattern to include artclView.do / event URL IDs,STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,ok,URL_RESOLUTION_FAILED,true,success,success,13,13,13,skipped,failed,skipped,not_evaluated,ready,true,,ingest_candidates_dry_run_then_admin_review
ou_1836_univ_001,경동대학교 장학공지,https://kduniv.ac.kr/kor/CMS/Board/Board.do?mCode=MN284&mgr_seq=509&mode=list,success,success,5,5,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,5,5,5,success,success,success,not_evaluated,ready,true,,ingest_candidates_dry_run_then_admin_review
ou_1841_univ_001,경북대학교 장학공지,https://knu.ac.kr/wbbs/wbbs/bbs/btin/list.action?bbs_cde=1&menu_idx=67,success,success,0,0,valid_empty_board,low,Success with 0 observed items — needs empty-board vs filter confirmation,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,fallback_scan,DETAIL_URL_UNVERIFIED,false,success,success,0,0,0,success,success,success,not_evaluated,blocked,false,zero_observed_needs_empty_board_confirmation,confirm_empty_board_vs_date_filter_with_CRAWL_ALLOW_UNDATED
ou_1864_univ_001,경상국립대학교 장학공지,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,empty_observed,empty_observed,0,0,detail_url_resolution_failed,high,List rows found but detail URL could not be extracted,STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,link_extract_fail,MANUAL_BROWSER_NETWORK_REQUIRED,false,empty_observed,empty_observed,0,0,0,skipped,failed,skipped,not_evaluated,blocked,false,detail_url_resolution_failed,capture_onclick_payload_and_extend_generic_url_builder
ou_1878_univ_001,경성대학교 장학공지,https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060,success,success,15,15,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,15,15,15,success,success,success,not_evaluated,ready,true,,ingest_candidates_dry_run_then_admin_review
ou_1888_univ_001,경운대학교 장학공지,https://www.ikw.ac.kr/page/link.tc?mn=2589&pageSeq=1929,network_error,transport_http_forbidden,0,0,http_forbidden,high,Fetch/access failure: transport_http_forbidden/UNKNOWN_NEEDS_MANUAL_REVIEW,UNKNOWN_NEEDS_MANUAL_REVIEW,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,fallback_scan,UNKNOWN_NEEDS_MANUAL_REVIEW,false,network_error,network_error,0,0,0,skipped,not_observed,skipped,not_evaluated,blocked,false,http_forbidden,manual_browser_access_check_then_transport_policy_if_allowed
ou_1892_univ_001,경인교육대학교 장학공지,https://www.ginue.ac.kr/kor/CMS/Board/Board.do?mCode=MN126&mgr_seq=90&mode=list,success,success,8,8,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,8,8,8,success,success,success,not_evaluated,ready,true,,ingest_candidates_dry_run_then_admin_review
ou_1895_univ_001,경일대학교 장학공지,https://www.kiu.ac.kr/pages/sub.htm?nav_code=kiu1540189661,success,success,15,0,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,15,0,0,success,success,success,not_evaluated,blocked,false,no_keyword_match_in_lookback,manual_review_with_saved_html_evidence
ou_9_univ_001,경희대학교 장학공지,https://janghak.khu.ac.kr/janghak/user/bbs/BMSR00040/list.do?menuNo=12300032,success,success,8,8,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,8,8,8,success,success,success,not_evaluated,ready,true,,ingest_candidates_dry_run_then_admin_review
ou_1923_univ_001,계명대학교 장학공지,https://www.kmu.ac.kr/uni/main/page.jsp?mnu_uid=145,network_error,network_error,0,0,network_dns_or_tls_failure,high,TLS/certificate exception indicated by access profile,TLS_OR_CERTIFICATE_EXCEPTION,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,fetch_error,UNKNOWN_NEEDS_MANUAL_REVIEW,false,network_error,network_error,0,0,0,skipped,not_observed,skipped,not_evaluated,blocked,false,network_dns_or_tls_failure,manual_browser_access_check_then_transport_policy_if_allowed
ou_1_univ_001,고려대학교 장학공지,https://scholarship.korea.ac.kr/scholarship/application/notice.do,network_error,network_error,0,0,network_dns_or_tls_failure,medium,Network/fetch failure bucket=network_error primary=UNKNOWN_NEEDS_MANUAL_REVIEW,UNKNOWN_NEEDS_MANUAL_REVIEW,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,fetch_error,UNKNOWN_NEEDS_MANUAL_REVIEW,false,network_error,network_error,0,0,0,skipped,not_observed,skipped,not_evaluated,blocked,false,network_dns_or_tls_failure,manual_browser_access_check_then_transport_policy_if_allowed
ou_1961_univ_001,고려대학교(세종) 장학공지,https://sejong.korea.ac.kr/koreaSejong/7906/subview.do,empty_observed,empty_observed,0,0,onclick_event_url_required,confirmed,List rows resolved after expanding notice_url_pattern to include artclView.do / event URL IDs,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,ok,URL_RESOLUTION_FAILED,true,success,success,10,10,10,skipped,failed,skipped,not_evaluated,ready,true,,ingest_candidates_dry_run_then_admin_review
ou_1973_univ_001,고신대학교 장학공지,https://www.kosin.ac.kr/kr/index.php?pCode=scholarshipNews,success,success,16,0,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,STATIC_HTML_HREF,none,,,,DETAIL_CONTENT_EMPTY_OR_BOILERPLATE,false,success,success,16,0,0,success,success,warning,not_evaluated,blocked,false,no_keyword_match_in_lookback,manual_review_with_saved_html_evidence
ou_1982_univ_001,공주교육대학교 장학공지,https://www.gjue.ac.kr/kor/article/BBSMSTR_000000000108,success,success,0,0,valid_empty_board,low,Success with 0 observed items — needs empty-board vs filter confirmation,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,fallback_scan,DETAIL_URL_UNVERIFIED,false,success,success,0,0,0,success,success,success,not_evaluated,blocked,false,zero_observed_needs_empty_board_confirmation,confirm_empty_board_vs_date_filter_with_CRAWL_ALLOW_UNDATED
ou_1986_univ_001,광신대학교 장학공지,https://www.kwangshin.ac.kr/front/boardList.do?brd_mgrno=180&menu_no=442,empty_observed,empty_observed,0,0,onclick_event_url_required,high,List selector matched rows but notice URLs failed pattern/event resolution,STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,link_extract_fail,URL_RESOLUTION_FAILED,false,empty_observed,empty_observed,0,0,0,skipped,failed,skipped,not_evaluated,blocked,false,onclick_event_url_required,capture_onclick_payload_and_extend_generic_url_builder
ou_1995_univ_001,광운대학교 장학공지,https://www.kw.ac.kr/ko/life/notice.jsp?srCategoryId=4,success,success,18,0,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,18,0,0,success,success,success,not_evaluated,blocked,false,no_keyword_match_in_lookback,manual_review_with_saved_html_evidence
ou_2005_univ_001,광주과학기술원 장학공지,https://www.gist.ac.kr/site/kr/html/sub05/050209.html,success,recovered_after_retry,6,0,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,recovered_after_retry,6,0,0,success,success,success,not_evaluated,blocked,false,no_keyword_match_in_lookback,manual_review_with_saved_html_evidence
ou_2007_univ_001,광주교육대학교 장학공지,https://www.gnue.ac.kr/planweb/board/list.9is?contentUid=4a9f18ab5c48fe8c015cec61f46c1131&boardUid=4a9f18ab5d53940b015d539a2f9e002e&contentUid=4a9f18ab5c48fe8c015cec61f46c1131,success,success,11,0,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,11,0,0,success,success,success,not_evaluated,blocked,false,no_keyword_match_in_lookback,manual_review_with_saved_html_evidence
ou_2010_univ_001,광주대학교 장학공지,https://www.gwangju.ac.kr/bbs/?b_id=gwangju_notice_se&mn=538&site=gwangju,success,success,1,0,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,FILTERED_OUT_BY_DATE,false,success,success,1,0,0,success,warning,success,not_evaluated,blocked,false,no_keyword_match_in_lookback,manual_review_with_saved_html_evidence
ou_2015_univ_001,광주여자대학교 장학공지,https://www.kwu.ac.kr/mod/board/list.do?MID=KWU_B06010401,empty_observed,empty_observed,0,0,list_selector_mismatch,high,Configured list_item_selector matched 0 rows on fetched HTML,SOURCE_CONFIG_OR_SELECTOR_MISMATCH,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,ok,LIST_SELECTOR_ZERO_MATCHES,false,empty_observed,empty_observed,0,0,0,skipped,skipped,skipped,not_evaluated,blocked,false,list_selector_mismatch,retune_list_item_selector_against_live_html
ou_2021_univ_001,국립강릉원주대학교 장학공지,https://gwnu.ac.kr/kr/7899/subview.do,empty_observed,empty_observed,0,0,onclick_event_url_required,high,List selector matched rows but notice URLs failed pattern/event resolution,STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,ok,URL_RESOLUTION_FAILED,success_zero,success,success,0,0,0,skipped,failed,skipped,not_evaluated,blocked,false,zero_observed_needs_empty_board_confirmation,confirm_empty_board_vs_date_filter_with_CRAWL_ALLOW_UNDATED
ou_2026_univ_001,국립경국대학교 장학공지,https://www.gknu.ac.kr/main/board/index.do?manage_idx=1&menu_idx=333&search.category1=107,success,success,10,10,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,DETAIL_IDENTITY_UNVERIFIED,false,success,success,10,10,10,success,success,success,not_evaluated,ready,true,,ingest_candidates_dry_run_then_admin_review
ou_2032_univ_001,국립공주대학교 장학공지,https://homepage.kongju.ac.kr/KNU/16909/subview.do,empty_observed,empty_observed,0,0,onclick_event_url_required,high,List selector matched rows but notice URLs failed pattern/event resolution,SERVER_RENDERED_WITH_PAGINATION|STATIC_HTML_EVENT_URL,expanded_notice_url_pattern; cleared selector_miss list_item_selector; preferred university_slug; jf_viewArtcl script URL helper; retry crawl,notice_url_pattern;list_item_selector(optional),deriveUniversitySlug;tune DO_DETAIL_URL_PATTERN;jf_viewArtcl;DEFAULT_NOTICE_URL_PATTERN,ok,URL_RESOLUTION_FAILED,success_zero,success,success,0,0,0,skipped,failed,skipped,not_evaluated,blocked,false,zero_observed_needs_empty_board_confirmation,confirm_empty_board_vs_date_filter_with_CRAWL_ALLOW_UNDATED
ou_2046_univ_001,국립군산대학교 장학공지,https://www.kunsan.ac.kr/board/list.kunsan?boardId=BBS_0000009,success,success,7,0,valid_zero_recent_posts,confirmed,Recovered or originally successful with list items,STATIC_HTML_EVENT_URL|STATIC_HTML_HREF,none,,,,DETAIL_CONTENT_EMPTY_OR_BOILERPLATE,false,success,success,7,0,0,success,success,warning,not_evaluated,blocked,false,no_keyword_match_in_lookback,manual_review_with_saved_html_evidence
