source_id,university_name,source_name,list_url,base_url,previous_outcome,coherent_final_status,coherent_reason_code,dns_resolved,tls_success,http_status,redirect_chain,final_url,content_type,charset,response_size,response_time_ms,retry_results,browser_accessible,browser_result_summary,browser_vs_crawler_difference,official_university_domain,official_central_board,page_title,visible_notice_list,visible_notice_count_sample,visible_recent_notice_sample,empty_board_message,login_required,captcha_or_waf,iframe_present,iframe_src,javascript_rendered,list_rows_detected,selector_matches,anchor_candidates,onclick_candidates,data_attribute_candidates,hidden_form_present,xhr_endpoint_found,post_request_required,sample_notice_title,sample_notice_url_or_event,candidate,dates,sample_detail_url,sample_detail_title,title_detail_identity_verified,crawler_failure_stage,root_cause,root_cause_confidence,human_explanation_ko,code_recoverable,config_only_fix,shared_adapter_candidate,source_specific_adapter_required,browser_runtime_required,replacement_url_required,external_dependency,beta_exclusion_recommended,priority,effort,recommended_action,exact_implementation_target,expected_recovery_probability,fallback_strategy,verification_method,analysis_fix_applied
ou_1_univ_001,고려대학교,고려대학교 장학공지,https://scholarship.korea.ac.kr/scholarship/application/notice.do,https://scholarship.korea.ac.kr,temporarily_unavailable,network_error,network_error,true,true,,"[{""url"":""https://scholarship.korea.ac.kr/scholarship/application/notice.do"",""status"":200,""location"":null}]",https://scholarship.korea.ac.kr/scholarship/application/notice.do,,,0,59,"[{""status"":null,""final_url"":""https://scholarship.korea.ac.kr/scholarship/application/notice.do"",""response_time_ms"":112,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[{""url"":""https://scholarship.korea.ac.kr/scholarship/application/notice.do"",""status"":200,""location"":null}]},{""status"":null,""final_url"":""https://scholarship.korea.ac.kr/scholarship/application/notice.do"",""response_time_ms"":122,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[{""url"":""https://scholarship.korea.ac.kr/scholarship/application/notice.do"",""status"":200,""location"":null}]},{""status"":null,""final_url"":""https://scholarship.korea.ac.kr/scholarship/application/notice.do"",""response_time_ms"":59,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[{""url"":""https://scholarship.korea.ac.kr/scholarship/application/notice.do"",""status"":200,""location"":null}]}]",false,브라우저와 같은 비인증 공개 HTTP 접근으로 관측; 최종 사람 브라우저 체크는 HTML에서 수행,not_observed,true,true,,false,0,,false,false,false,false,,false,0,0,0,0,0,false,false,false,,,,[],,,false,connection_reset,temporary_dns_or_tls_failure,low,고려대학교의 공식 URL을 저빈도로 재확인했습니다. 목록 표본을 확인하지 못했습니다. 상세 제목 일치는 아직 확인되지 않았습니다 여러 저빈도 접근에서 HTTP 응답 이전 네트워크/TLS 문제가 반복됐습니다.,false,false,false,false,false,false,true,true,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,beta 제외 후 다음 운영 주기 재확인,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,false
ou_1618_univ_001,화성의과학대학교,화성의과학대학교 장학공지,https://www.hsmu.ac.kr/user/board/HSMU40102000_list_HSMU40102000.do,https://www.hsmu.ac.kr,temporarily_unavailable,network_error,network_error,true,true,,[],https://www.hsmu.ac.kr/user/board/HSMU40102000_list_HSMU40102000.do,,,0,37,"[{""status"":null,""final_url"":""https://www.hsmu.ac.kr/user/board/HSMU40102000_list_HSMU40102000.do"",""response_time_ms"":247,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[]},{""status"":null,""final_url"":""https://www.hsmu.ac.kr/user/board/HSMU40102000_list_HSMU40102000.do"",""response_time_ms"":39,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[]},{""status"":null,""final_url"":""https://www.hsmu.ac.kr/user/board/HSMU40102000_list_HSMU40102000.do"",""response_time_ms"":37,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[]}]",false,브라우저와 같은 비인증 공개 HTTP 접근으로 관측; 최종 사람 브라우저 체크는 HTML에서 수행,not_observed,true,true,,false,0,,false,false,false,false,,false,0,0,0,0,0,false,false,false,,,,[],,,false,connection_reset,temporary_dns_or_tls_failure,low,화성의과학대학교의 공식 URL을 저빈도로 재확인했습니다. 목록 표본을 확인하지 못했습니다. 상세 제목 일치는 아직 확인되지 않았습니다 여러 저빈도 접근에서 HTTP 응답 이전 네트워크/TLS 문제가 반복됐습니다.,false,false,false,false,false,false,true,true,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,beta 제외 후 다음 운영 주기 재확인,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,false
ou_1737_univ_001,강남대학교,강남대학교 장학공지,https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117,https://web.kangnam.ac.kr,verified_external_block,empty_observed,empty_observed,true,true,200,"[{""url"":""https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117"",""status"":200,""location"":null}]",https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117,text/html;charset=utf-8,utf-8,85814,1203,"[{""status"":200,""final_url"":""https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117"",""response_time_ms"":1203,""response_size"":85814,""error"":null,""redirect_chain"":[{""url"":""https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117"",""status"":200,""location"":null}]},{""status"":200,""final_url"":""https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117"",""response_time_ms"":1104,""response_size"":85814,""error"":null,""redirect_chain"":[{""url"":""https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117"",""status"":200,""location"":null}]}]",true,브라우저와 같은 비인증 공개 HTTP 접근으로 관측; 최종 사람 브라우저 체크는 HTML에서 수행,public_http_accessible_but_coherent_crawler_non_success,true,true,강남대학교 홈페이지,false,0,,false,true,false,false,,false,0,,0,0,0,true,true,true,,,,"[{""raw"":""2023-01-04"",""value"":""2023-01-04T00:00:00.000Z""},{""raw"":""2023-01-04"",""value"":""2023-01-04T00:00:00.000Z""}]",,,false,login_or_auth,confirmed_login_required,high,강남대학교의 공식 URL을 저빈도로 재확인했습니다. 목록 표본을 확인하지 못했습니다. 상세 제목 일치는 아직 확인되지 않았습니다 목록 접근에 로그인 또는 인증이 요구되는 신호가 있어 beta 공개 source로 바로 쓰기 어렵습니다.,false,false,false,false,false,false,true,true,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,beta 제외 후 다음 운영 주기 재확인,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,false
ou_1745_univ_001,강서대학교,강서대학교 장학공지,https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703,https://gangseo.ac.kr,still_unresolved,empty_observed,empty_observed,true,true,200,"[{""url"":""https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703"",""status"":200,""location"":null}]",https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703,text/html;charset=UTF-8,UTF-8,54725,1103,"[{""status"":200,""final_url"":""https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703"",""response_time_ms"":1103,""response_size"":54725,""error"":null,""redirect_chain"":[{""url"":""https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703"",""status"":200,""location"":null}]},{""status"":200,""final_url"":""https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703"",""response_time_ms"":896,""response_size"":54725,""error"":null,""redirect_chain"":[{""url"":""https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703"",""status"":200,""location"":null}]}]",true,브라우저와 같은 비인증 공개 HTTP 접근으로 관측; 최종 사람 브라우저 체크는 HTML에서 수행,public_http_accessible_but_coherent_crawler_non_success,true,true,강서광장>강서대학교 소통광장>공지사항,true,16,학부증명발급,false,false,false,false,,false,16,,22,0,0,true,false,true,학부증명발급,https://uni.webminwon.com/servlet/WMINDEX?COMMAND=ACTIVEX&GIWANNO=021107,"{""href"":""https://uni.webminwon.com/servlet/WMINDEX?COMMAND=ACTIVEX&GIWANNO=021107"",""onclick"":"""",""data"":"""",""title"":""학부증명발급""}","[{""raw"":""2026-07-23"",""value"":""2026-07-23T00:00:00.000Z""},{""raw"":""2026-07-23"",""value"":""2026-07-23T00:00:00.000Z""},{""raw"":""2026-07-21"",""value"":""2026-07-21T00:00:00.000Z""},{""raw"":""2026-06-08"",""value"":""2026-06-08T00:00:00.000Z""},{""raw"":""2026-03-13"",""value"":""2026-03-13T00:00:00.000Z""},{""raw"":""2026-03-03"",""value"":""2026-03-03T00:00:00.000Z""},{""raw"":""2026-07-21"",""value"":""2026-07-21T00:00:00.000Z""},{""raw"":""2026-07-21"",""value"":""2026-07-21T00:00:00.000Z""},{""raw"":""2026-07-07"",""value"":""2026-07-07T00:00:00.000Z""},{""raw"":""2026-07-01"",""value"":""2026-07-01T00:00:00.000Z""},{""raw"":""2026-07-01"",""value"":""2026-07-01T00:00:00.000Z""},{""raw"":""2026-06-22"",""value"":""2026-06-22T00:00:00.000Z""},{""raw"":""2026-06-19"",""value"":""2026-06-19T00:00:00.000Z""},{""raw"":""2026-06-18"",""value"":""2026-06-18T00:00:00.000Z""},{""raw"":""2026-06-18"",""value"":""2026-06-18T00:00:00.000Z""},{""raw"":""2026-06-18"",""value"":""2026-06-18T00:00:00.000Z""}]",https://uni.webminwon.com/servlet/WMINDEX?COMMAND=ACTIVEX&GIWANNO=021107,,false,xhr_or_post_required,public_xhr_or_post_adapter_required,low,강서대학교의 공식 URL을 저빈도로 재확인했습니다. 공지 목록 표본이 보입니다. 상세 제목 일치는 아직 확인되지 않았습니다 공개 목록이 XHR 또는 POST로 생성되는 흔적이 있어 일반 HTML 추출만으로는 부족합니다.,true,false,true,false,false,false,false,false,P1,M,공개 목록 XHR 또는 POST 요청을 재현하는 제한된 adapter를 만든다.,shared XHR/POST adapter,중간,검증 실패 시 beta 활성화를 보류하고 수동 확인,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,false
ou_1751_univ_001,강원대학교,강원대학교 장학공지,https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232,https://itcall.kangwon.ac.kr,verified_external_block,http_error,http_error,true,true,403,"[{""url"":""https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232"",""status"":403,""location"":null}]",https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232,text/html;charset=UTF-8,UTF-8,1579,1193,"[{""status"":403,""final_url"":""https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232"",""response_time_ms"":1193,""response_size"":1579,""error"":null,""redirect_chain"":[{""url"":""https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232"",""status"":403,""location"":null}]},{""status"":403,""final_url"":""https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232"",""response_time_ms"":51,""response_size"":1579,""error"":null,""redirect_chain"":[{""url"":""https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232"",""status"":403,""location"":null}]}]",false,브라우저와 같은 비인증 공개 HTTP 접근으로 관측; 최종 사람 브라우저 체크는 HTML에서 수행,not_observed,true,true,403,false,0,,false,false,false,false,,false,0,0,0,0,0,false,false,false,,,,[],,,false,http_403,confirmed_http_403,high,강원대학교의 공식 URL을 저빈도로 재확인했습니다. 목록 표본을 확인하지 못했습니다. 상세 제목 일치는 아직 확인되지 않았습니다 일반 HTTP 접근도 403으로 거절되어 차단 우회 없이 공개 대체 경로를 찾아야 합니다.,false,false,false,false,false,false,true,true,P3,External,차단 우회를 하지 않고 공식 공개 대체 게시판만 조사한다.,external university policy,낮음,beta 제외 후 다음 운영 주기 재확인,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,false
ou_1878_univ_001,경성대학교,경성대학교 장학공지,https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060,https://kscms.ks.ac.kr,,timeout,attempt_timeout,true,true,200,"[{""url"":""https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060"",""status"":200,""location"":null}]",https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060,text/html; charset=UTF-8,UTF-8,41854,772,"[{""status"":200,""final_url"":""https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060"",""response_time_ms"":772,""response_size"":41854,""error"":null,""redirect_chain"":[{""url"":""https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060"",""status"":200,""location"":null}]},{""status"":200,""final_url"":""https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060"",""response_time_ms"":475,""response_size"":41854,""error"":null,""redirect_chain"":[{""url"":""https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060"",""status"":200,""location"":null}]},{""status"":200,""final_url"":""https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060"",""response_time_ms"":333,""response_size"":41854,""error"":null,""redirect_chain"":[{""url"":""https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060"",""status"":200,""location"":null}]}]",true,브라우저와 같은 비인증 공개 HTTP 접근으로 관측; 최종 사람 브라우저 체크는 HTML에서 수행,public_http_accessible_but_coherent_crawler_non_success,true,true,장학정보 < 커뮤니티 > 장학정보(*),true,20,2026학년도 2학기 국가근로 장학생 선발 안내,false,true,false,false,,false,20,20,20,0,0,true,true,true,2026학년도 2학기 국가근로 장학생 선발 안내,?mCode=MN060&mode=view&mgr_seq=30&board_seq=179108,"{""href"":""?mCode=MN060&mode=view&mgr_seq=30&board_seq=179108"",""onclick"":"""",""data"":"""",""title"":""2026학년도 2학기 국가근로 장학생 선발 안내""}","[{""raw"":""2026-07-10"",""value"":""2026-07-10T00:00:00.000Z""},{""raw"":""2026-07-02"",""value"":""2026-07-02T00:00:00.000Z""},{""raw"":""2026-05-19"",""value"":""2026-05-19T00:00:00.000Z""},{""raw"":""2026-03-16"",""value"":""2026-03-16T00:00:00.000Z""},{""raw"":""2026-02-26"",""value"":""2026-02-26T00:00:00.000Z""},{""raw"":""2025-01-17"",""value"":""2025-01-17T00:00:00.000Z""},{""raw"":""2024-10-30"",""value"":""2024-10-30T00:00:00.000Z""},{""raw"":""2026년 5.18"",""value"":""2026-05-18T00:00:00.000Z""},{""raw"":""2026-07-29"",""value"":""2026-07-29T00:00:00.000Z""},{""raw"":""2026-07-22"",""value"":""2026-07-22T00:00:00.000Z""},{""raw"":""2026-07-20"",""value"":""2026-07-20T00:00:00.000Z""},{""raw"":""2026-07-13"",""value"":""2026-07-13T00:00:00.000Z""},{""raw"":""2026-07-06"",""value"":""2026-07-06T00:00:00.000Z""},{""raw"":""2026-07-02"",""value"":""2026-07-02T00:00:00.000Z""},{""raw"":""2026-07-02"",""value"":""2026-07-02T00:00:00.000Z""},{""raw"":""2026-06-29"",""value"":""2026-06-29T00:00:00.000Z""},{""raw"":""2026-06-26"",""value"":""2026-06-26T00:00:00.000Z""},{""raw"":""2026-06-18"",""value"":""2026-06-18T00:00:00.000Z""},{""raw"":""2026. 6. 17"",""value"":""2026-06-17T00:00:00.000Z""},{""raw"":""2026-06-11"",""value"":""2026-06-11T00:00:00.000Z""},{""raw"":""2026-06-11"",""value"":""2026-06-11T00:00:00.000Z""},{""raw"":""2026-06-08"",""value"":""2026-06-08T00:00:00.000Z""}]",https://kscms.ks.ac.kr/janghak/CMS/Board/Board.do?mCode=MN060&mode=view&mgr_seq=30&board_seq=179108,장학정보 < 커뮤니티 > 장학정보(*),true,login_or_auth,confirmed_login_required,high,경성대학교의 공식 URL을 저빈도로 재확인했습니다. 공지 목록 표본이 보입니다. 표본 제목과 상세 페이지의 일치도 확인했습니다 목록 접근에 로그인 또는 인증이 요구되는 신호가 있어 beta 공개 source로 바로 쓰기 어렵습니다.,false,false,false,false,false,false,true,true,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,beta 제외 후 다음 운영 주기 재확인,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,false
ou_1888_univ_001,경운대학교,경운대학교 장학공지,https://www.ikw.ac.kr/page/link.tc?mn=2589&pageSeq=1929,https://www.ikw.ac.kr,temporarily_unavailable,network_error,transport_http_forbidden,true,true,,[],https://www.ikw.ac.kr/page/link.tc?mn=2589&pageSeq=1929,,,0,36,"[{""status"":null,""final_url"":""https://www.ikw.ac.kr/page/link.tc?mn=2589&pageSeq=1929"",""response_time_ms"":220,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[]},{""status"":null,""final_url"":""https://www.ikw.ac.kr/page/link.tc?mn=2589&pageSeq=1929"",""response_time_ms"":53,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[]},{""status"":null,""final_url"":""https://www.ikw.ac.kr/page/link.tc?mn=2589&pageSeq=1929"",""response_time_ms"":36,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[]}]",false,브라우저와 같은 비인증 공개 HTTP 접근으로 관측; 최종 사람 브라우저 체크는 HTML에서 수행,not_observed,true,true,,false,0,,false,false,false,false,,false,0,,0,0,0,false,false,false,,,,[],,,false,connection_reset,temporary_dns_or_tls_failure,low,경운대학교의 공식 URL을 저빈도로 재확인했습니다. 목록 표본을 확인하지 못했습니다. 상세 제목 일치는 아직 확인되지 않았습니다 여러 저빈도 접근에서 HTTP 응답 이전 네트워크/TLS 문제가 반복됐습니다.,false,false,false,false,false,false,true,true,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,beta 제외 후 다음 운영 주기 재확인,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,false
ou_1923_univ_001,계명대학교,계명대학교 장학공지,https://www.kmu.ac.kr/uni/main/page.jsp?mnu_uid=145,https://www.kmu.ac.kr,temporarily_unavailable,network_error,network_error,true,true,,[],https://www.kmu.ac.kr/uni/main/page.jsp?mnu_uid=145,,,0,50,"[{""status"":null,""final_url"":""https://www.kmu.ac.kr/uni/main/page.jsp?mnu_uid=145"",""response_time_ms"":209,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[]},{""status"":null,""final_url"":""https://www.kmu.ac.kr/uni/main/page.jsp?mnu_uid=145"",""response_time_ms"":53,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[]},{""status"":null,""final_url"":""https://www.kmu.ac.kr/uni/main/page.jsp?mnu_uid=145"",""response_time_ms"":50,""response_size"":0,""error"":""TypeError"",""redirect_chain"":[]}]",false,브라우저와 같은 비인증 공개 HTTP 접근으로 관측; 최종 사람 브라우저 체크는 HTML에서 수행,not_observed,true,true,,false,0,,false,false,false,false,,false,0,,0,0,0,false,false,false,,,,[],,,false,connection_reset,temporary_dns_or_tls_failure,low,계명대학교의 공식 URL을 저빈도로 재확인했습니다. 목록 표본을 확인하지 못했습니다. 상세 제목 일치는 아직 확인되지 않았습니다 여러 저빈도 접근에서 HTTP 응답 이전 네트워크/TLS 문제가 반복됐습니다.,false,false,false,false,false,false,true,true,P3,External,출처별 재시도 큐에 남기고 정상 응답이 확인될 때만 활성화한다.,transport retry policy,낮음,beta 제외 후 다음 운영 주기 재확인,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,false
ou_1986_univ_001,광신대학교,광신대학교 장학공지,https://www.kwangshin.ac.kr/front/boardList.do?brd_mgrno=180&menu_no=442,https://www.kwangshin.ac.kr,still_unresolved,empty_observed,empty_observed,true,true,200,"[{""url"":""https://www.kwangshin.ac.kr/front/boardList.do?brd_mgrno=180&menu_no=442"",""status"":200,""location"":null}]",https://www.kwangshin.ac.kr/front/boardList.do?brd_mgrno=180&menu_no=442,text/html;charset=utf-8,utf-8,53753,2675,"[{""status"":200,""final_url"":""https://www.kwangshin.ac.kr/front/boardList.do?brd_mgrno=180&menu_no=442"",""response_time_ms"":2675,""response_size"":53753,""error"":null,""redirect_chain"":[{""url"":""https://www.kwangshin.ac.kr/front/boardList.do?brd_mgrno=180&menu_no=442"",""status"":200,""location"":null}]},{""status"":200,""final_url"":""https://www.kwangshin.ac.kr/front/boardList.do?brd_mgrno=180&menu_no=442"",""response_time_ms"":286,""response_size"":53753,""error"":null,""redirect_chain"":[{""url"":""https://www.kwangshin.ac.kr/front/boardList.do?brd_mgrno=180&menu_no=442"",""status"":200,""location"":null}]}]",true,브라우저와 같은 비인증 공개 HTTP 접근으로 관측; 최종 사람 브라우저 체크는 HTML에서 수행,public_http_accessible_but_coherent_crawler_non_success,true,true,HOME > 커뮤니티 > 공지사항,true,12,대학소개,false,true,false,false,,false,12,12,187,0,0,true,true,true,대학소개,/home/contentsInfo.do?menu_no=391,"{""href"":""/home/contentsInfo.do?menu_no=391"",""onclick"":"""",""data"":"""",""title"":""대학소개""}","[{""raw"":""2026.07.28"",""value"":""2026-07-28T00:00:00.000Z""},{""raw"":""2026.07.16"",""value"":""2026-07-16T00:00:00.000Z""},{""raw"":""2026.06.26"",""value"":""2026-06-26T00:00:00.000Z""},{""raw"":""2026.06.25"",""value"":""2026-06-25T00:00:00.000Z""},{""raw"":""2026.06.25"",""value"":""2026-06-25T00:00:00.000Z""},{""raw"":""2026.06.22"",""value"":""2026-06-22T00:00:00.000Z""},{""raw"":""2026.06.11"",""value"":""2026-06-11T00:00:00.000Z""},{""raw"":""2026.06.04"",""value"":""2026-06-04T00:00:00.000Z""},{""raw"":""2026.05.29"",""value"":""2026-05-29T00:00:00.000Z""},{""raw"":""2026.05.28"",""value"":""2026-05-28T00:00:00.000Z""}]",https://www.kwangshin.ac.kr/home/contentsInfo.do?menu_no=391,HOME > 대학소개 > 교가,true,login_or_auth,confirmed_login_required,high,광신대학교의 공식 URL을 저빈도로 재확인했습니다. 공지 목록 표본이 보입니다. 표본 제목과 상세 페이지의 일치도 확인했습니다 목록 접근에 로그인 또는 인증이 요구되는 신호가 있어 beta 공개 source로 바로 쓰기 어렵습니다.,false,false,false,false,false,false,true,true,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,beta 제외 후 다음 운영 주기 재확인,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,false
ou_2015_univ_001,광주여자대학교,광주여자대학교 장학공지,https://www.kwu.ac.kr/mod/board/list.do?MID=KWU_B06010401,https://www.kwu.ac.kr,verified_external_block,empty_observed,empty_observed,true,true,200,"[{""url"":""https://www.kwu.ac.kr/mod/board/list.do?MID=KWU_B06010401"",""status"":200,""location"":null}]",https://www.kwu.ac.kr/mod/board/list.do?MID=KWU_B06010401,text/html;charset=UTF-8,UTF-8,588,457,"[{""status"":200,""final_url"":""https://www.kwu.ac.kr/mod/board/list.do?MID=KWU_B06010401"",""response_time_ms"":457,""response_size"":588,""error"":null,""redirect_chain"":[{""url"":""https://www.kwu.ac.kr/mod/board/list.do?MID=KWU_B06010401"",""status"":200,""location"":null}]},{""status"":200,""final_url"":""https://www.kwu.ac.kr/mod/board/list.do?MID=KWU_B06010401"",""response_time_ms"":251,""response_size"":588,""error"":null,""redirect_chain"":[{""url"":""https://www.kwu.ac.kr/mod/board/list.do?MID=KWU_B06010401"",""status"":200,""location"":null}]}]",true,브라우저와 같은 비인증 공개 HTTP 접근으로 관측; 최종 사람 브라우저 체크는 HTML에서 수행,public_http_accessible_but_coherent_crawler_non_success,true,true,,false,0,,false,true,false,true,/sso/login_post_proc.jsp?ty=url,false,0,0,0,0,0,false,false,false,,,,[],,,false,login_or_auth,confirmed_login_required,high,광주여자대학교의 공식 URL을 저빈도로 재확인했습니다. 목록 표본을 확인하지 못했습니다. 상세 제목 일치는 아직 확인되지 않았습니다 목록 접근에 로그인 또는 인증이 요구되는 신호가 있어 beta 공개 source로 바로 쓰기 어렵습니다.,false,false,false,false,false,false,true,true,P3,External,로그인 자동화 없이 공개 대체 장학 게시판을 찾고 없으면 beta에서 제외한다.,external university policy,낮음,beta 제외 후 다음 운영 주기 재확인,공식 목록에서 표본 제목과 생성/실제 상세 URL의 제목 일치 확인,false
