source_id,university_slug,college_name,department_name,org_unit_id,source_level,source_name,list_url,base_url,list_item_selector,link_selector,title_selector,date_selector,detail_content_selector,detail_date_selector,notice_url_pattern,keywords,adapter,enabled,notes
ou_1732_univ_001,ou_1732,,,1732,university,감리교신학대학교 장학공지,https://www.mtu.ac.kr/mtu/board/list.do?mId=160,https://www.mtu.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 장학/학자금 공지
ou_1737_univ_001,ou_1737,,,1737,university,강남대학교 장학공지,https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117,https://web.kangnam.ac.kr,,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 강남광장>공지사항>장학
ou_1745_univ_001,ou_1745,,,1745,university,강서대학교 장학공지,https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703,https://gangseo.ac.kr,,a[href],,,,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 강서소통광장>장학공지
ou_1751_univ_001,ou_1751,,,1751,university,강원대학교 장학공지,https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232,https://itcall.kangwon.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 대학생활>장학안내>장학 게시판
ou_1779_univ_001,ou_1779,,,1779,university,건국대학교(글로컬) 장학공지,https://www.kku.ac.kr/cms/FR_CON/index.do?MENU_ID=1750,https://www.kku.ac.kr,,,,,,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,cau_portal,true,confidence=high | 글로컬 장학공지 | adapter=cau_portal (FR_CON BBSViewList2)
ou_1786_univ_001,ou_1786,,,1786,university,건양대학교 장학공지,https://www.konyang.ac.kr/cop/bbs/BBSMSTR_000000000585/selectBoardList.do,https://www.konyang.ac.kr,tbody tr,a[href],a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 장학·학자금 공지
ou_1821_univ_001,ou_1821,,,1821,university,경남과학기술대학교 장학공지,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,https://www.gnu.ac.kr,tbody tr,"a.nttInfoBtn, a[data-id], a[href]",a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=low | 2021년 경상국립대 통합; 별도 보드 없음→GNU Today 장학 | data-id→selectNttInfo
ou_1864_univ_001,ou_1864,,,1864,university,경상국립대학교 장학공지,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,https://www.gnu.ac.kr,tbody tr,"a.nttInfoBtn, a[data-id], a[href]",a[href],"td:last-child, .date, .board-date, .wr_date",,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=medium | GNU Today>Scholarships(한글 mi 미확인) | data-id→selectNttInfo
ou_1888_univ_001,ou_1888,,,1888,university,경운대학교 장학공지,https://www.ikw.ac.kr/page/link.tc?mn=2589&pageSeq=1929,https://www.ikw.ac.kr,,a[href],,,,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 장학/학자금 공지
ou_1923_univ_001,ou_1923,,,1923,university,계명대학교 장학공지,https://www.kmu.ac.kr/uni/main/page.jsp?mnu_uid=145,https://www.kmu.ac.kr,,a[href],,,,,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|nttSn=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|brdIdx=|DOC_NO=|BBS_SEQ=|bIdx=|bdId=|artclView\.do|selectNttInfo\.do|selectBoardArticle\.do|BoardView\.do|boardCnts\/view\.do|boardView\.do|detailView\.do|scholarDetail\.do|View\d+\.do|view\.do|\/portalBbs\/|\/article\/[^/]+\/detail\/|\/web\/Board\/|notice-view\?id=|mod=document),장학|장학금|학자금|등록금|scholarship|tuition|fellowship,,true,confidence=high | 열린마당>장학
