source_id,source_name,university_name,list_url,base_url,org_unit_id,university_slug,initial_error_bucket,latest_error_bucket,observed_count,matched_count,runtime_status,existing_parser_strategy,existing_notice_url_pattern,existing_list_item_selector,existing_link_selector,notes,prior_root_cause_category
ou_1732_univ_001,감리교신학대학교 장학공지,감리교신학대학교,https://www.mtu.ac.kr/mtu/board/list.do?mId=160,https://www.mtu.ac.kr,1732,ou_1732,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=high | 장학/학자금 공지,detail_url_resolution_failed
ou_1737_univ_001,강남대학교 장학공지,강남대학교,https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117,https://web.kangnam.ac.kr,1737,ou_1737,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),,a[href],confidence=high | 강남광장>공지사항>장학,list_selector_mismatch
ou_1745_univ_001,강서대학교 장학공지,강서대학교,https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703,https://gangseo.ac.kr,1745,ou_1745,attempt_timeout,attempt_timeout,0,0,timeout,generic_html,,,a[href],confidence=high | 강서소통광장>장학공지,timeout
ou_1751_univ_001,강원대학교 장학공지,강원대학교,https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232,https://itcall.kangwon.ac.kr,1751,ou_1751,http_error,http_error,0,0,http_error,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=high | 대학생활>장학안내>장학 게시판,http_forbidden
ou_1779_univ_001,건국대학교(글로컬) 장학공지,건국대학교(글로컬),https://www.kku.ac.kr/cms/FR_CON/index.do?MENU_ID=1750,https://www.kku.ac.kr,1779,ou_1779,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),,a[href],confidence=high | 글로컬 장학공지,list_selector_mismatch
ou_1786_univ_001,건양대학교 장학공지,건양대학교,https://www.konyang.ac.kr/cop/bbs/BBSMSTR_000000000585/selectBoardList.do,https://www.konyang.ac.kr,1786,ou_1786,empty_observed,attempt_timeout,0,0,timeout,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=high | 장학·학자금 공지,onclick_event_url_required
ou_1821_univ_001,경남과학기술대학교 장학공지,경남과학기술대학교,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,https://www.gnu.ac.kr,1821,ou_1821,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=low | 2021년 경상국립대 통합; 별도 보드 없음→GNU Today 장학,detail_url_resolution_failed
ou_1864_univ_001,경상국립대학교 장학공지,경상국립대학교,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,https://www.gnu.ac.kr,1864,ou_1864,empty_observed,empty_observed,0,0,empty_observed,generic_html,(mode=view|sMode=VIEW_FORM|iBrdContNo=|articleNo=|boardNo=|nttNo=|nttId=|idx=\d+|no=\d+|wr_id=\d+|boardSeq=\d+|b_idx=\d+|seq=\d+|uid=\d+|artclNo=|artclView\.do|notice-view\?id=|mod=document),tbody tr,a[href],confidence=medium | GNU Today>Scholarships(한글 mi 미확인),detail_url_resolution_failed
ou_1888_univ_001,경운대학교 장학공지,경운대학교,https://www.ikw.ac.kr/page/link.tc?mn=2589&pageSeq=1929,https://www.ikw.ac.kr,1888,ou_1888,transport_http_forbidden,network_error,0,0,network_error,generic_html,,,a[href],confidence=high | 장학/학자금 공지,http_forbidden
ou_1923_univ_001,계명대학교 장학공지,계명대학교,https://www.kmu.ac.kr/uni/main/page.jsp?mnu_uid=145,https://www.kmu.ac.kr,1923,ou_1923,network_error,network_error,0,0,network_error,generic_html,,,a[href],confidence=high | 열린마당>장학,network_dns_or_tls_failure
