source_id,source_name,bucket,recommendation,list_url,has_list_item_selector,item_match_count,link_rate,date_rate,anchor_count,keyword_hits,menu_like_hits,false_positive_risk,js_framework,error
ou_1732_univ_001,감리교신학대학교 장학공지,ok,설정 정상,https://www.mtu.ac.kr/mtu/board/list.do?mId=160,true,34,1,1,582,,,,,
ou_1737_univ_001,강남대학교 장학공지,fallback_scan,list_item_selector 미설정 → 페이지 전체 링크 스캔 중(오탐 위험). 목록 셀렉터 지정 필요,https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117,false,,,,305,32,6,0.19,,
ou_1745_univ_001,강서대학교 장학공지,fallback_scan,list_item_selector 미설정 → 페이지 전체 링크 스캔 중(오탐 위험). 목록 셀렉터 지정 필요,https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703,false,,,,275,18,7,0.39,,
ou_1751_univ_001,강원대학교 장학공지,fetch_error,요청 실패 → URL/타임아웃/차단 여부 확인,https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232,true,,,,,,,,,HTTP 403
ou_1779_univ_001,건국대학교(글로컬) 장학공지,fallback_scan,list_item_selector 미설정 → 페이지 전체 링크 스캔 중(오탐 위험). 목록 셀렉터 지정 필요,https://www.kku.ac.kr/cms/FR_CON/index.do?MENU_ID=1750,false,,,,543,18,10,0.56,,
ou_1786_univ_001,건양대학교 장학공지,ok,설정 정상,https://www.konyang.ac.kr/cop/bbs/BBSMSTR_000000000585/selectBoardList.do,true,16,1,1,780,,,,,
ou_1821_univ_001,경남과학기술대학교 장학공지,link_extract_fail,목록 행은 잡히나 상세 URL 추출 실패 → onclick/data-href 어댑터 또는 link_selector 필요,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,true,12,0,1,167,,,,,
ou_1864_univ_001,경상국립대학교 장학공지,link_extract_fail,목록 행은 잡히나 상세 URL 추출 실패 → onclick/data-href 어댑터 또는 link_selector 필요,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,true,12,0,1,167,,,,,
ou_1888_univ_001,경운대학교 장학공지,fetch_error,요청 실패 → URL/타임아웃/차단 여부 확인,https://www.ikw.ac.kr/page/link.tc?mn=2589&pageSeq=1929,false,,,,,,,,,fetch failed
ou_1923_univ_001,계명대학교 장학공지,fetch_error,요청 실패 → URL/타임아웃/차단 여부 확인,https://www.kmu.ac.kr/uni/main/page.jsp?mnu_uid=145,false,,,,,,,,,fetch failed
