source_id,university_name,list_url,prior_error_bucket,probe_cluster,probe_root_cause,probe_confidence,probe_evidence,crawl_final_status,crawl_reason_code,crawled_count,matched_count,enabled,outcome,outcome_confidence,outcome_detail
ou_1732_univ_001,감리교신학대학교,https://www.mtu.ac.kr/mtu/board/list.do?mId=160,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://www.mtu.ac.kr/mtu/board/list.do?mId=160; size=213462; anchors=582; candidates=303; selector_matches=34; patterns=view.do|hash_only|javascript:; cms=portal_or_login; onclicks=0; iframe=true; js=false; login=true; empty=false,success,success,9,9,true,recovered_with_items,confirmed,crawled=9; matched=9
ou_1737_univ_001,강남대학교,https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117,empty_observed,http_403_waf,login_required,confirmed,http=200; final_url=https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117; size=85814; anchors=305; candidates=0; selector_matches=0; patterns=hash_only; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=false,empty_observed,empty_observed,0,0,true,verified_external_block,confirmed,http=200; final_url=https://web.kangnam.ac.kr/menu/f19069e6134f8f8aa7f689a4a675e66f.do?searchMenuSeq=117; size=85814; anchors=305; candidates=0; selector_matches=0; patterns=hash_only; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=false
ou_1745_univ_001,강서대학교,https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703,attempt_timeout,onclick_post_event_url,detail_url_resolution_failed,high,http=200; final_url=https://gangseo.ac.kr/kcua/boardList?menuCode=BC0703; size=55057; anchors=275; candidates=1; selector_matches=0; patterns=javascript:|hash_only|uid=; cms=portal_or_login; onclicks=0; iframe=false; js=false; login=true; empty=false,empty_observed,empty_observed,0,0,true,still_unresolved,high,finalStatus=empty_observed; reason=empty_observed; root=detail_url_resolution_failed; cluster=onclick_post_event_url
ou_1751_univ_001,강원대학교,https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232,http_error,http_403_waf,http_403,confirmed,http=403; final_url=https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232; size=1579; anchors=2; candidates=0; selector_matches=0; patterns=javascript:; cms=egovframe_bbs; onclicks=0; iframe=false; js=false; login=false; empty=false,http_error,http_error,0,0,true,verified_external_block,confirmed,HTTP 403; http=403; final_url=https://itcall.kangwon.ac.kr/www/selectBbsNttList.do?bbsNo=34&key=232; size=1579; anchors=2; candidates=0; selector_matches=0; patterns=javascript:; cms=egovframe_bbs; onclicks=0; iframe=false; js=false; login=false; empty=false
ou_1779_univ_001,건국대학교(글로컬),https://www.kku.ac.kr/cms/FR_CON/index.do?MENU_ID=1750,empty_observed,onclick_post_event_url,detail_url_resolution_failed,high,http=200; final_url=https://www.kku.ac.kr/cms/FR_CON/index.do?MENU_ID=1750; size=1374107; anchors=543; candidates=5; selector_matches=0; patterns=view.do; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=true,success,success,15,15,true,recovered_with_items,confirmed,crawled=15; matched=15
ou_1786_univ_001,건양대학교,https://www.konyang.ac.kr/cop/bbs/BBSMSTR_000000000585/selectBoardList.do,attempt_timeout,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://www.konyang.ac.kr/cop/bbs/BBSMSTR_000000000585/selectBoardList.do; size=137734; anchors=780; candidates=51; selector_matches=16; patterns=javascript:|view.do|nttId=|hash_only; cms=portal_or_login; onclicks=5; iframe=false; js=false; login=true; empty=false,success,success,11,11,true,recovered_with_items,confirmed,crawled=11; matched=11
ou_1821_univ_001,경남과학기술대학교,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470; size=98039; anchors=167; candidates=104; selector_matches=12; patterns=view.do|hash_only|javascript:; cms=unknown; onclicks=5; iframe=false; js=false; login=false; empty=false,disabled,disabled_duplicate_or_inactive,0,0,false,replacement_source_found,confirmed,"경남과학기술대는 2021년 경상국립대(GNU)로 통합. 동일 list_url 중복 수집 방지를 위해 ou_1821 비활성화, 공식 운영 주체 보드는 ou_1864_univ_001로 통합."
ou_1864_univ_001,경상국립대학교,https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470,empty_observed,selector_mismatch,list_selector_mismatch,high,http=200; final_url=https://www.gnu.ac.kr/eng/na/ntt/selectNttList.do?bbsId=12788&mi=49470; size=98039; anchors=167; candidates=104; selector_matches=12; patterns=view.do|hash_only|javascript:; cms=unknown; onclicks=5; iframe=false; js=false; login=false; empty=false,success,success,8,8,true,recovered_with_items,confirmed,crawled=8; matched=8
ou_1888_univ_001,경운대학교,https://www.ikw.ac.kr/page/link.tc?mn=2589&pageSeq=1929,network_error,tls_network_timeout,network_dns_or_tls_failure,high,fetch_error=fetch failed,network_error,transport_http_forbidden,0,0,true,temporarily_unavailable,high,fetch_error=fetch failed; fetch_error=fetch failed
ou_1923_univ_001,계명대학교,https://www.kmu.ac.kr/uni/main/page.jsp?mnu_uid=145,network_error,tls_network_timeout,network_dns_or_tls_failure,high,fetch_error=fetch failed,network_error,network_error,0,0,true,temporarily_unavailable,high,fetch_error=fetch failed; fetch_error=fetch failed
